DCEanCode,Supplier Primary EAN,Supplier Despatch Point,Vendor Code,DocDate,DocumentType,SupplierDocumentNo,StoreCode,StoreName,StoreEanCode,DocumentAmountExcl,DocumentAmountIncl,DiscountAmountExcl,DiscountAmountIncl,VatAmountPayable,NetAmountIncl,PaymentNumber
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013089560,30709,THE HILL KWIKSPAR,6001008507878,-29.80,-33.97,-0.89,-1.01,-4.05,-32.96,296745
6001008000041,6004930015367, ,005187,08/07/2016,INV,9013157897,30686,CELTIS RIDGE SPAR,6001008507632,114.05,130.02,3.42,3.90,15.49,126.12,296745
6001008000041,6004930015367, ,005187,08/07/2016,INV,9013157918,30738,SAXBY SUPERSPAR,6001008508165,11062.21,12610.92,331.87,378.33,1502.25,12232.59,296745
6001008000041,6004930015367, ,005187,04/07/2016,INV,9013109729,30568,ELIM SUPERSPAR,6001008505508,529.07,603.14,15.87,18.09,71.85,585.05,296745
6001008000041,6004930015367, ,005187,04/07/2016,INV,9013123468,30483,GEZINA KWIKSPAR,6001008504624,595.46,678.82,17.86,20.36,80.86,658.46,296745
6001008000041,6004930015367, ,005187,04/07/2016,INV,9013122199,30671,KRUISFONTEIN SPAR,6001008507489,164.90,187.99,4.95,5.64,22.40,182.35,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013090703,30766,DOORNPOORT SPAR,6001008508431,-1186.33,-1352.42,-35.59,-40.57,-161.11,-1311.85,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013090253,30956,ZAMBEZI SUPERSPAR,6001008510298,-1061.48,-1210.09,-31.84,-36.30,-144.15,-1173.79,296745
6001008000041,6004930015367, ,005187,07/07/2016,CR,9013162767,30244,GROENKLOOF SPAR,6001008502187,-65.60,-74.78,-1.97,-2.25,-8.90,-72.53,296745
6001008000041,6004930015367, ,005187,05/07/2016,INV,9013141443,30886,ELARDUS PARK SUPERSPAR,6001008509629,939.71,1071.27,28.19,32.14,127.61,1039.13,296745
6001008000041,6004930015367, ,005187,07/07/2016,CR,9013162773,30244,GROENKLOOF SPAR,6001008502187,-442.37,-504.30,-13.27,-15.13,-60.07,-489.17,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013089744,30671,KRUISFONTEIN SPAR,6001008507489,-164.30,-187.30,-4.93,-5.62,-22.31,-181.68,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013099992,30750,TEMBISA SUPERSPAR,6001008508288,-700.53,-798.60,-21.02,-23.96,-95.13,-774.64,296745
6001008000041,6004930015367, ,005187,04/07/2016,INV,9013122201,30680,MAMELODI SPAR,6001008507571,159.96,182.36,4.80,5.47,21.73,176.89,296745
6001008000041,6004930015367, ,005187,05/07/2016,INV,9013141465,30304,MNANDI SPAR,6001008502781,194.06,221.23,5.82,6.63,26.36,214.60,296745
6001008000041,6004930015367, ,005187,07/07/2016,CR,9013162012,30412,THE REEDS SPAR,6001008503900,-83.92,-95.67,-2.52,-2.87,-11.40,-92.80,296745
6001008000041,6004930015367, ,005187,06/07/2016,INV,9013191350,30863,NABOOM SPAR,6001008509445,197.70,225.38,5.93,6.76,26.85,218.62,296745
6001008000041,6004930015367, ,005187,07/07/2016,CR,9013162362,30964,WATERKLOOF SPAR UNDER BOND PER,6001008510397,-105.27,-120.01,-3.16,-3.60,-14.30,-116.41,296745
6001008000041,6004930015367, ,005187,05/07/2016,INV,9013141437,30270,LYTTELTON SUPERSPAR,6001008502446,2628.23,2996.18,78.85,89.89,356.91,2906.29,296745
6001008000041,6004930015367, ,005187,06/07/2016,INV,9013112434,30284,GROBLERSDAL SUPERSPAR,6001008502583,315.89,360.12,9.48,10.81,42.90,349.31,296745
6001008000041,6004930015367, ,005187,04/07/2016,INV,9013109889,30863,NABOOM SPAR,6001008509445,162.60,185.36,4.88,5.56,22.08,179.80,296745
6001008000041,6004930015367, ,005187,07/07/2016,CR,9013162468,10284,KILNER PARK SUPERSPAR,6001008500107,-418.44,-477.02,-12.55,-14.31,-56.82,-462.71,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013089879,30651,MOGOL SUPERSPAR,6001008507281,-1967.87,-2243.37,-59.04,-67.31,-267.23,-2176.06,296745
6001008000041,6004930015367, ,005187,07/07/2016,CR,9013162359,30964,WATERKLOOF SPAR UNDER BOND PER,6001008510397,-98.94,-112.79,-2.97,-3.39,-13.43,-109.40,296745
6001008000041,6004930015367, ,005187,08/07/2016,INV,9013162002,30412,THE REEDS SPAR,6001008503900,5459.39,6223.70,163.78,186.71,741.38,6036.99,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013099965,30933,NOORDWYK SPAR,6001008510052,-310.22,-353.65,-9.31,-10.61,-42.13,-343.04,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013122863,30143,THABA SUPERSPAR,6001008501241,-2988.24,-3406.59,-89.65,-102.20,-405.80,-3304.39,296745
6001008000041,6004930015367, ,005187,07/07/2016,CR,9013157909,30740,JUBILEE SUPERSPAR,6001008508189,-6.31,-7.19,-0.19,-0.22,-0.85,-6.97,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013089874,30651,MOGOL SUPERSPAR,6001008507281,-2.65,-3.02,-0.08,-0.09,-0.36,-2.93,296745
6001008000041,6004930015367, ,005187,08/07/2016,INV,9013157906,30740,JUBILEE SUPERSPAR,6001008508189,853.93,973.48,25.62,29.21,115.96,944.27,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013089824,30679,MARULA SPAR,6001008507564,-75.81,-86.42,-2.27,-2.59,-10.29,-83.83,296745
6001008000041,6004930015367, ,005187,08/07/2016,INV,9013162748,30676,OLD FARM KWIKSPAR,6001008507533,3213.86,3663.80,96.42,109.92,436.44,3553.88,296745
