DCEanCode,Supplier Primary EAN,Supplier Despatch Point,Vendor Code,DocDate,DocumentType,SupplierDocumentNo,StoreCode,StoreName,StoreEanCode,DocumentAmountExcl,DocumentAmountIncl,DiscountAmountExcl,DiscountAmountIncl,VatAmountPayable,NetAmountIncl,PaymentNumber
6001008000034,6001299000010, ,001518,04/07/2016,INV,62362790,21461,RETAIL CROSSING SUPERSPAR,6001008406133,12046.78,12998.07,615.59,694.42,872.46,12303.65,294081
6001008000034,6001299000010, ,001518,01/07/2016,INV,62331550,21665,BETHAL SUPERSPAR,6001008407734,26596.76,29101.46,1359.09,1537.18,2326.61,27564.28,294081
6001008000034,6001299000010, ,001518,21/07/2016,CR,62431065,21726,CARLSWALD SUPERSPAR,6001008408496,-615.61,-683.02,-31.46,-35.67,-63.20,-647.35,294081
6001008000034,6001299000010, ,001518,05/07/2016,CR,62226928,21126,PALM SANDS SPAR,6001008401763,-111.62,-125.82,-5.71,-6.49,-13.42,-119.33,294081
6001008000034,6001299000010, ,001518,04/07/2016,CR,62183315,21913,DANIELSKUIL SPAR,6001008410321,-2331.96,-2592.27,-119.16,-135.18,-244.29,-2457.09,294081
6001008000034,6001299000010, ,001518,20/07/2016,CR,62549567,10056,BOTHAVILLE SPAR(FS),6001008400018,-369.13,-420.81,-18.86,-21.50,-49.04,-399.31,294081
6001008000034,6001299000010, ,001518,02/07/2016,INV,62346356,22023,EMALAHLENI SPAR,6001008411304,3861.87,4209.43,197.35,223.05,321.86,3986.38,294081
6001008000034,6001299000010, ,001518,04/07/2016,INV,62362291,21701,SAVE-IN SUPERSPAR,6001008408144,5148.38,5422.26,263.08,295.44,241.52,5126.82,294081
6001008000034,6001299000010, ,001518,25/07/2016,CR,62643865,21333,PALM COURT SPAR,6001008404443,-2333.82,-2384.25,-119.25,-133.18,-36.50,-2251.07,294081
6001008000034,6001299000010, ,001518,30/06/2016,CR,62156805,21513,ALJO'S SPAR,6001008408205,-20.16,-22.98,-1.03,-1.18,-2.67,-21.80,294081
